Age,Discipline/Stream of Education,Year of Study,How many hours per week do you spend on academics (classes + studying)?,How often do you feel stressed due to academic workload?,How often do you feel physically or mentally exhausted (burned out) from college activities?,"On average, how many hours of sleep do you get per night?",How often do you skip meals or eat irregularly because of workload or stress?,Do you engage in any form of exercise or physical activity?,How often do you use social media or digital platforms as a way to cope with stress?,Do you feel comfortable talking to friends/family about your mental health struggles?,"Has academic pressure ever affected your mental health severely (e.g., anxiety, depression, breakdowns)?",Do you think your college provides enough support/resources for student mental health?,"On a scale of 1–5, how would you rate your overall mental well-being right now?",main_coping_mechanism
19.0,0,3,25,4,3,5.5,2,2,3,3,1,1,4,0
19.0,0,3,25,3,3,5.5,0,2,3,2,0,0,5,1
19.0,1,3,5,3,4,6.5,1,1,2,2,1,1,4,0
19.0,1,3,5,3,3,7.5,0,3,2,2,0,0,4,2
19.0,2,3,5,4,3,7.5,2,0,4,0,1,1,2,1
18.0,2,3,5,3,4,6.5,3,4,3,0,2,0,3,1
18.0,1,3,5,5,4,6.5,3,2,4,2,2,1,2,1
20.0,3,3,5,4,5,6.5,2,2,3,2,1,0,1,1
19.0,1,3,5,3,4,6.5,2,2,4,3,1,1,2,0
19.0,1,3,25,5,5,6.5,1,4,1,3,2,2,5,0
18.0,1,3,5,5,5,5.5,1,1,3,0,2,0,1,1
18.0,1,2,5,4,4,9.0,0,1,2,2,0,2,3,0
19.0,1,3,25,5,4,6.5,3,0,3,3,2,1,1,0
21.0,3,2,25,3,2,6.5,2,1,4,3,1,2,5,0
19.0,1,3,15,5,3,7.5,2,3,3,3,1,1,5,1
19.0,1,2,5,3,3,7.5,2,1,3,2,1,1,4,1
19.0,1,3,35,4,5,5.5,2,2,3,2,2,1,2,0
19.0,1,3,25,3,3,6.5,1,3,1,2,0,1,3,3
20.0,1,3,5,4,4,7.5,2,1,4,1,2,0,3,0
19.0,1,3,15,5,4,6.5,2,3,4,3,2,0,3,0
18.0,1,3,5,4,4,6.5,2,1,3,3,2,1,3,0
19.0,1,3,5,3,3,6.5,1,0,3,2,1,0,3,1
19.0,1,3,5,5,5,7.5,3,2,2,2,2,0,3,0
19.0,1,3,25,4,5,6.5,3,0,4,2,2,0,4,1
20.0,1,3,5,4,4,6.5,2,3,4,1,2,0,3,1
19.0,0,3,5,3,2,5.5,1,4,0,3,0,2,1,3
19.0,2,2,5,2,1,9.0,0,4,4,2,1,2,2,3
19.0,1,3,35,4,5,5.5,2,2,4,1,2,0,2,0
19.0,4,1,35,5,4,4.0,1,3,4,3,1,1,2,0
19.0,0,3,35,4,4,6.5,0,2,3,0,1,0,3,1
20.0,3,3,35,3,2,7.5,1,4,1,2,0,1,4,1
20.0,0,4,5,5,5,4.0,3,0,4,0,2,0,1,1
20.0,3,3,15,2,3,6.5,1,0,2,1,2,1,4,1
18.0,1,1,25,1,5,6.5,2,2,2,1,2,1,1,3
19.0,3,3,15,4,4,5.5,1,1,1,1,2,2,4,1
19.0,3,3,5,3,3,5.5,2,0,3,2,1,2,2,1
21.0,1,3,15,1,1,5.5,2,4,2,3,0,2,5,0
20.0,1,3,15,3,3,6.5,0,2,1,3,0,2,3,4
21.0,3,2,5,1,2,6.5,2,2,2,2,2,1,4,1
18.0,1,2,5,2,3,5.5,4,0,2,3,2,1,3,1
26.0,1,3,5,3,3,9.0,0,3,4,2,1,1,2,0
19.0,2,3,5,2,2,9.0,2,4,3,3,2,2,4,1
22.0,2,2,15,1,3,5.5,2,1,3,2,0,1,2,3
19.0,3,2,15,3,4,5.5,2,3,1,3,2,0,2,3
20.0,3,3,5,5,5,9.0,2,1,1,1,2,2,1,2
19.0,3,2,15,2,3,7.5,0,4,2,3,0,2,3,0
19.0,3,3,5,4,3,5.5,0,2,3,2,0,1,4,2
19.0,1,3,5,5,5,9.0,2,1,3,0,0,0,3,1
19.0,3,3,35,4,3,6.5,1,4,4,2,1,1,3,0
19.0,3,3,5,4,3,6.5,2,0,4,2,1,0,3,5
19.0,2,3,15,3,3,6.5,2,3,2,2,2,1,4,2
20.0,3,3,25,3,3,7.5,1,2,2,2,2,2,5,2
20.0,3,3,5,4,2,4.0,1,2,2,3,2,2,4,1
21.0,1,3,25,3,3,6.5,2,2,1,1,0,1,3,5
19.0,3,3,5,4,4,5.5,2,2,0,2,0,0,4,0
20.0,5,3,15,3,3,7.5,2,3,2,3,0,1,3,0
17.0,1,1,5,3,4,6.5,3,1,2,0,1,1,3,1
18.0,4,1,5,1,1,7.5,0,1,4,3,0,2,5,1
19.0,3,3,15,3,2,5.5,2,4,3,1,0,1,2,1
19.0,3,2,5,3,2,5.5,2,1,2,2,0,0,3,0
20.0,2,3,15,3,3,7.5,2,4,2,2,1,1,3,6
18.0,2,1,5,1,1,4.0,1,3,0,2,0,2,1,0
19.0,3,3,15,3,4,6.5,0,3,3,3,0,1,4,0
20.0,3,1,5,4,4,9.0,2,4,4,2,1,2,5,1
20.0,3,3,35,1,1,4.0,2,4,2,1,1,0,1,0
22.0,3,4,5,5,5,4.0,2,4,2,3,1,1,3,0
22.0,1,2,25,5,5,4.0,4,1,3,1,2,1,1,0
19.0,3,3,35,3,2,5.5,1,3,3,2,1,2,5,0
